date,key,value
09/06/2015,Bobby Jindal,1.02
09/13/2015,Bobby Jindal,1.70
09/20/2015,Bobby Jindal,0.59
09/27/2015,Bobby Jindal,0.45
10/04/2015,Bobby Jindal,0.49
10/11/2015,Bobby Jindal,0.45
10/18/2015,Bobby Jindal,0.37
10/25/2015,Bobby Jindal,0.56
11/01/2015,Bobby Jindal,0.77
11/08/2015,Bobby Jindal,0.82
11/15/2015,Bobby Jindal,2.24
11/22/2015,Bobby Jindal,0.79
11/29/2015,Bobby Jindal,0.21
12/06/2015,Bobby Jindal,0.19
12/13/2015,Bobby Jindal,0.19
12/20/2015,Bobby Jindal,0.21
12/27/2015,Bobby Jindal,0.15
01/03/2016,Bobby Jindal,0.15
01/10/2016,Bobby Jindal,0.45
01/17/2016,Bobby Jindal,0.16
01/24/2016,Bobby Jindal,0.14
01/31/2016,Bobby Jindal,0.22
02/07/2016,Bobby Jindal,0.36
02/14/2016,Bobby Jindal,0.22
02/21/2016,Bobby Jindal,0.17
02/28/2016,Bobby Jindal,0.36
03/06/2016,Bobby Jindal,0.27
03/13/2016,Bobby Jindal,0.19
03/20/2016,Bobby Jindal,0.17
03/27/2016,Bobby Jindal,0.11
04/03/2016,Bobby Jindal,0.00
04/10/2016,Bobby Jindal,0.11
04/17/2016,Bobby Jindal,0.00
04/24/2016,Bobby Jindal,0.00
05/01/2016,Bobby Jindal,0.00
05/08/2016,Bobby Jindal,0.00
05/15/2016,Bobby Jindal,0.00
05/22/2016,Bobby Jindal,0.00
05/29/2016,Bobby Jindal,0.00
12/28/2014,John Kasich,0.00
01/04/2015,John Kasich,0.11
01/11/2015,John Kasich,0.16
01/18/2015,John Kasich,0.15
01/25/2015,John Kasich,0.22
02/01/2015,John Kasich,0.17
02/08/2015,John Kasich,0.12
02/15/2015,John Kasich,0.13
02/22/2015,John Kasich,0.17
03/01/2015,John Kasich,0.11
03/08/2015,John Kasich,0.13
03/15/2015,John Kasich,0.15
03/22/2015,John Kasich,0.26
03/29/2015,John Kasich,0.14
04/05/2015,John Kasich,0.14
04/12/2015,John Kasich,0.20
04/19/2015,John Kasich,0.34
04/26/2015,John Kasich,0.19
05/03/2015,John Kasich,0.17
05/10/2015,John Kasich,0.12
05/17/2015,John Kasich,0.19
05/24/2015,John Kasich,0.25
05/31/2015,John Kasich,0.22
06/07/2015,John Kasich,0.20
06/14/2015,John Kasich,0.28
06/21/2015,John Kasich,0.25
06/28/2015,John Kasich,0.51
07/05/2015,John Kasich,0.33
07/12/2015,John Kasich,0.33
07/19/2015,John Kasich,3.32
07/26/2015,John Kasich,0.94
08/02/2015,John Kasich,5.04
08/09/2015,John Kasich,1.65
08/16/2015,John Kasich,1.19
08/23/2015,John Kasich,0.76
08/30/2015,John Kasich,0.63
09/06/2015,John Kasich,0.59
09/13/2015,John Kasich,2.62
09/20/2015,John Kasich,0.84
09/27/2015,John Kasich,0.53
10/04/2015,John Kasich,0.69
10/11/2015,John Kasich,0.56
10/18/2015,John Kasich,0.40
10/25/2015,John Kasich,2.35
11/01/2015,John Kasich,0.73
11/08/2015,John Kasich,2.04
11/15/2015,John Kasich,0.88
11/22/2015,John Kasich,0.82
11/29/2015,John Kasich,0.53
12/06/2015,John Kasich,0.56
12/13/2015,John Kasich,1.26
12/20/2015,John Kasich,0.47
12/27/2015,John Kasich,0.46
