date,Candidate,search interest (indexed 1-100),
Feb 17 2015,Ben Carson,0.94,
Feb 18 2015,Ben Carson,0.93,
Feb 19 2015,Ben Carson,0.88,
Feb 20 2015,Ben Carson,1.20,
Feb 21 2015,Ben Carson,0.93,
Feb 22 2015,Ben Carson,1.20,
Feb 23 2015,Ben Carson,0.94,
Feb 24 2015,Ben Carson,0.91,
Feb 25 2015,Ben Carson,1.08,
Feb 26 2015,Ben Carson,1.48,
Feb 27 2015,Ben Carson,1.66,
Feb 28 2015,Ben Carson,1.20,
Mar 1 2015,Ben Carson,1.59,
Mar 2 2015,Ben Carson,1.23,
Mar 3 2015,Ben Carson,1.53,
Mar 4 2015,Ben Carson,6.68,
Mar 5 2015,Ben Carson,4.76,
Mar 6 2015,Ben Carson,1.94,
Mar 7 2015,Ben Carson,1.49,
Mar 8 2015,Ben Carson,1.96,
Mar 9 2015,Ben Carson,1.47,
Mar 10 2015,Ben Carson,1.06,
Mar 11 2015,Ben Carson,1.04,
Mar 12 2015,Ben Carson,0.82,
Mar 13 2015,Ben Carson,0.89,
Mar 14 2015,Ben Carson,0.70,
Mar 15 2015,Ben Carson,0.73,
Mar 16 2015,Ben Carson,0.69,
Mar 17 2015,Ben Carson,0.71,
Mar 18 2015,Ben Carson,0.91,
Mar 19 2015,Ben Carson,0.75,
Mar 20 2015,Ben Carson,0.67,
Mar 21 2015,Ben Carson,0.65,
Mar 22 2015,Ben Carson,0.86,
Mar 23 2015,Ben Carson,1.12,
Mar 24 2015,Ben Carson,0.93,
Mar 25 2015,Ben Carson,1.17,
Mar 26 2015,Ben Carson,0.83,
Mar 27 2015,Ben Carson,0.80,
Mar 28 2015,Ben Carson,0.72,
Mar 29 2015,Ben Carson,0.70,
Mar 30 2015,Ben Carson,0.54,
Mar 31 2015,Ben Carson,0.61,
Apr 1 2015,Ben Carson,0.64,
Apr 2 2015,Ben Carson,0.68,
Apr 3 2015,Ben Carson,0.51,
Apr 4 2015,Ben Carson,0.63,
Apr 5 2015,Ben Carson,0.68,
Apr 6 2015,Ben Carson,0.56,
Apr 7 2015,Ben Carson,0.81,
Apr 8 2015,Ben Carson,0.66,
Apr 9 2015,Ben Carson,0.84,
Apr 10 2015,Ben Carson,0.87,
Apr 11 2015,Ben Carson,0.75,
Apr 12 2015,Ben Carson,0.97,
Apr 13 2015,Ben Carson,1.15,
Apr 14 2015,Ben Carson,2.03,
Apr 15 2015,Ben Carson,1.09,
Apr 16 2015,Ben Carson,1.33,
Apr 17 2015,Ben Carson,0.89,
Apr 18 2015,Ben Carson,0.75,
Apr 19 2015,Ben Carson,0.74,
Apr 20 2015,Ben Carson,0.76,
Apr 21 2015,Ben Carson,0.73,
Apr 22 2015,Ben Carson,0.91,
Apr 23 2015,Ben Carson,0.81,
Apr 24 2015,Ben Carson,0.73,
Apr 25 2015,Ben Carson,0.66,
Apr 26 2015,Ben Carson,0.73,
Apr 27 2015,Ben Carson,0.70,
Apr 28 2015,Ben Carson,0.85,
Apr 29 2015,Ben Carson,1.06,
Apr 30 2015,Ben Carson,0.85,
May 1 2015,Ben Carson,0.92,
May 2 2015,Ben Carson,0.71,
May 3 2015,Ben Carson,1.75,
